,date,home_team,away_team,result,toss,home_rank,home_rating,away_rank,away_rating
175,2008/10/13,India,India,draw,Australia,3,109.0,3,109.0
176,2012/04/19,West Indies,West Indies,draw,Australia,7,85.0,7,85.0
177,2013/03/14,West Indies,West Indies,home,Zimbabwe,7,91.0,7,91.0
178,2012/11/29,Sri Lanka,Sri Lanka,New Zealand,New Zealand,6,96.0,6,96.0
179,2008/12/30,Australia,Australia,South Africa,home,1,130.0,1,130.0
180,2011/10/22,Pakistan,Pakistan,draw,home,6,94.0,6,94.0
181,2009/03/02,West Indies,West Indies,draw,England,7,89.0,7,89.0
182,2010/01/27,Bangladesh,Bangladesh,India,home,9,9.0,9,9.0
183,2008/07/26,Sri Lanka,Sri Lanka,home,home,5,103.0,5,103.0
184,2004/12/19,Australia,Australia,home,Pakistan,1,130.0,1,130.0
185,2011/11/02,Bangladesh,Bangladesh,West Indies,West Indies,9,9.0,9,9.0
186,2008/01/14,New Zealand,New Zealand,home,home,7,93.0,7,93.0
187,2011/06/23,West Indies,West Indies,India,India,7,88.0,7,88.0
188,2007/11/11,South Africa,South Africa,home,home,4,109.0,4,109.0
189,2009/08/30,Sri Lanka,Sri Lanka,home,home,2,120.0,2,120.0
190,2008/02/25,Bangladesh,Bangladesh,South Africa,home,9,2.0,9,2.0
191,2007/01/06,South Africa,India,home,away,6,102.0,4,107.0
192,2008/05/26,West Indies,West Indies,Australia,Australia,8,77.0,8,77.0
193,2011/12/12,Australia,Australia,New Zealand,home,4,103.0,4,103.0
194,2010/12/29,South Africa,South Africa,India,home,2,116.0,2,116.0
195,2012/04/27,West Indies,West Indies,Australia,Australia,7,85.0,7,85.0
196,2013/03/22,West Indies,West Indies,home,home,7,91.0,7,91.0
197,2012/12/28,Australia,Australia,home,Sri Lanka,3,114.0,3,114.0
198,2004/10/29,Bangladesh,New Zealand,away,away,10,0.0,7,95.0
199,2013/03/05,India,India,home,Australia,4,105.0,4,105.0
200,2007/01/22,South Africa,South Africa,Pakistan,home,6,102.0,6,102.0
201,2007/12/13,Sri Lanka,England,draw,away,3,109.0,5,107.0
202,2006/12/09,New Zealand,Sri Lanka,home,away,7,93.0,5,102.0
203,2004/10/18,India,Australia,draw,away,4,104.0,1,129.0
204,2012/01/19,Pakistan,England,home,away,5,99.0,1,125.0
205,2012/07/12,Sri Lanka,Sri Lanka,draw,home,6,103.0,6,103.0
206,2011/08/13,England,England,home,home,1,125.0,1,125.0
207,2007/06/11,England,England,home,home,2,114.0,2,114.0
208,2005/11/16,Pakistan,Pakistan,home,home,7,95.0,7,95.0
209,2012/05/28,England,England,home,West Indies,1,116.0,1,116.0
210,2006/03/11,Bangladesh,Bangladesh,Sri Lanka,home,10,0.0,10,0.0
211,2012/03/29,Sri Lanka,Sri Lanka,home,home,6,98.0,6,98.0
212,2006/06/26,West Indies,West Indies,draw,home,8,72.0,8,72.0
213,2004/12/02,India,South Africa,home,away,3,108.0,6,100.0
214,2008/03/03,Bangladesh,Bangladesh,South Africa,South Africa,9,1.0,9,1.0
215,2009/12/06,New Zealand,New Zealand,Pakistan,home,7,81.0,7,81.0
216,2006/03/13,India,England,home,away,3,111.0,2,113.0
217,2011/08/22,England,England,home,home,1,125.0,1,125.0
218,2009/12/08,Australia,Australia,draw,West Indies,3,116.0,3,116.0
219,2004/12/13,Bangladesh,Bangladesh,India,India,10,0.0,10,0.0
220,2011/01/06,South Africa,South Africa,draw,India,2,117.0,2,117.0
221,2011/06/20,England,England,draw,home,3,116.0,3,116.0
222,2010/11/23,India,India,home,New Zealand,1,129.0,1,129.0
223,2009/07/07,Sri Lanka,Sri Lanka,home,Pakistan,4,111.0,4,111.0
224,2008/01/06,New Zealand,New Zealand,home,home,7,93.0,7,93.0
225,2011/05/15,West Indies,West Indies,home,home,7,88.0,7,88.0
226,2006/04/04,South Africa,South Africa,Australia,home,6,98.0,6,98.0
227,2005/12/30,Australia,Australia,home,home,1,128.0,1,128.0
228,2007/07/31,England,England,India,India,2,115.0,2,115.0
229,2009/11/28,Australia,Australia,home,home,4,116.0,4,116.0
230,2013/02/26,India,India,home,Australia,4,105.0,4,105.0
231,2005/04/24,West Indies,West Indies,South Africa,home,8,73.0,8,73.0
232,2013/02/04,South Africa,South Africa,home,home,1,128.0,1,128.0
233,2010/02/18,India,India,home,South Africa,1,124.0,1,124.0
234,2006/05/28,England,Sri Lanka,home,away,2,113.0,7,95.0
235,2011/12/12,Bangladesh,Bangladesh,Pakistan,Pakistan,9,8.0,9,8.0
236,2006/12/18,Australia,Australia,home,home,1,130.0,1,130.0
237,2011/11/09,India,India,home,West Indies,2,118.0,2,118.0
238,2008/11/28,South Africa,South Africa,home,Bangladesh,2,117.0,2,117.0
239,2010/11/16,India,India,draw,New Zealand,1,129.0,1,129.0
240,2012/03/27,New Zealand,New Zealand,draw,home,8,85.0,8,85.0
241,2010/01/07,South Africa,South Africa,draw,England,2,120.0,2,120.0
242,2007/12/29,Australia,Australia,home,home,1,143.0,1,143.0
243,2013/01/04,South Africa,South Africa,home,New Zealand,1,124.0,1,124.0
244,2010/11/19,Sri Lanka,Sri Lanka,draw,West Indies,3,115.0,3,115.0
245,2006/05/01,South Africa,New Zealand,draw,home,5,101.0,6,97.0
246,2006/08/08,Sri Lanka,South Africa,home,away,5,103.0,6,94.0
247,2006/12/30,South Africa,South Africa,home,home,6,94.0,6,94.0
248,2008/04/06,West Indies,West Indies,home,home,8,77.0,8,77.0
249,2008/11/23,Australia,Australia,home,New Zealand,1,130.0,1,130.0
250,2011/01/19,New Zealand,New Zealand,draw,home,8,78.0,8,78.0
251,2007/01/05,Australia,England,home,away,1,134.0,2,114.0
252,2007/07/14,Sri Lanka,Bangladesh,home,home,3,107.0,9,4.0
253,2007/06/28,Sri Lanka,Bangladesh,home,home,5,102.0,10,1.0
254,2008/10/29,Bangladesh,Bangladesh,draw,home,9,1.0,9,1.0
255,2008/08/11,England,England,home,South Africa,5,104.0,5,104.0
256,2006/07/29,England,Pakistan,home,away,2,112.0,3,109.0
257,2004/08/01,England,England,home,home,2,109.0,2,109.0
258,2010/01/18,Australia,Australia,home,home,3,119.0,3,119.0
259,2013/03/10,New Zealand,New Zealand,draw,home,8,78.0,8,78.0
